 time            vin             i(v1)           l0             
 3.38057478e-01  4.25402380e+00 -4.16344344e-04  1.02175613e+04 
 3.40057478e-01  4.22067179e+00 -4.13080158e-04  1.02175613e+04 
 3.42057478e-01  4.18665328e+00 -4.09750743e-04  1.02175613e+04 
 3.44057478e-01  4.15197365e+00 -4.06356623e-04  1.02175613e+04 
 3.46057478e-01  4.11663838e+00 -4.02898334e-04  1.02175613e+04 
 3.48057478e-01  4.08065304e+00 -3.99376424e-04  1.02175613e+04 
 3.50057478e-01  4.04402332e+00 -3.95791447e-04  1.02175613e+04 
 3.52057478e-01  4.00675500e+00 -3.92143970e-04  1.02175613e+04 
 3.54057478e-01  3.96885397e+00 -3.88434569e-04  1.02175613e+04 
 3.56057478e-01  3.93032621e+00 -3.84663829e-04  1.02175613e+04 
 3.58057478e-01  3.89117781e+00 -3.80832347e-04  1.02175613e+04 
 3.60057478e-01  3.85141494e+00 -3.76940727e-04  1.02175613e+04 
 3.62057478e-01  3.81104389e+00 -3.72989584e-04  1.02175613e+04 
 3.64057478e-01  3.77007103e+00 -3.68979541e-04  1.02175613e+04 
 3.66057478e-01  3.72850284e+00 -3.64911232e-04  1.02175613e+04 
 3.68057478e-01  3.68634587e+00 -3.60785300e-04  1.02175613e+04 
 3.70057478e-01  3.64360679e+00 -3.56602395e-04  1.02175613e+04 
 3.72057478e-01  3.60029233e+00 -3.52363178e-04  1.02175613e+04 
 3.74057478e-01  3.55640935e+00 -3.48068320e-04  1.02175613e+04 
 3.76057478e-01  3.51196477e+00 -3.43718497e-04  1.02175613e+04 
 3.78057478e-01  3.46696561e+00 -3.39314397e-04  1.02175613e+04 
 3.80057478e-01  3.42141898e+00 -3.34856716e-04  1.02175613e+04 
 3.82057478e-01  3.37533206e+00 -3.30346156e-04  1.02175613e+04 
 3.84057478e-01  3.32871214e+00 -3.25783432e-04  1.02175613e+04 
 3.86057478e-01  3.28156658e+00 -3.21169262e-04  1.02175613e+04 
 3.88057478e-01  3.23390282e+00 -3.16504376e-04  1.02175613e+04 
 3.90057478e-01  3.18572839e+00 -3.11789510e-04  1.02175613e+04 
 3.92057478e-01  3.13705090e+00 -3.07025409e-04  1.02175613e+04 
 3.94057478e-01  3.08787803e+00 -3.02212825e-04  1.02175613e+04 
 3.96057478e-01  3.03821755e+00 -2.97352519e-04  1.02175613e+04 
 3.98057478e-01  2.98807730e+00 -2.92445256e-04  1.02175613e+04 
 4.00057478e-01  2.93746520e+00 -2.87491814e-04  1.02175613e+04 
 4.02057478e-01  2.88638923e+00 -2.82492973e-04  1.02175613e+04 
 4.04057478e-01  2.83485747e+00 -2.77449523e-04  1.02175613e+04 
 4.06057478e-01  2.78287806e+00 -2.72362261e-04  1.02175613e+04 
 4.08057478e-01  2.73045920e+00 -2.67231989e-04  1.02175613e+04 
 4.10057478e-01  2.67760916e+00 -2.62059519e-04  1.02175613e+04 
 4.12057478e-01  2.62433630e+00 -2.56845666e-04  1.02175613e+04 
 4.14057478e-01  2.57064903e+00 -2.51591254e-04  1.02175613e+04 
 4.16057478e-01  2.51655582e+00 -2.46297113e-04  1.02175613e+04 
 4.18057478e-01  2.46206522e+00 -2.40964079e-04  1.02175613e+04 
 4.20057478e-01  2.40718583e+00 -2.35592994e-04  1.02175613e+04 
 4.22057478e-01  2.35192632e+00 -2.30184706e-04  1.02175613e+04 
 4.24057478e-01  2.29629541e+00 -2.24740070e-04  1.02175613e+04 
 4.26057478e-01  2.24030189e+00 -2.19259944e-04  1.02175613e+04 
 4.28057478e-01  2.18395460e+00 -2.13745194e-04  1.02175613e+04 
 4.30057478e-01  2.12726244e+00 -2.08196692e-04  1.02175613e+04 
 4.32057478e-01  2.07023435e+00 -2.02615313e-04  1.02175613e+04 
 4.34057478e-01  2.01287936e+00 -1.97001939e-04  1.02175613e+04 
 4.36057478e-01  1.95520651e+00 -1.91357455e-04  1.02175613e+04 
 4.38057478e-01  1.89722490e+00 -1.85682755e-04  1.02175613e+04 
 4.40057478e-01  1.83894371e+00 -1.79978732e-04  1.02175613e+04 
 4.42057478e-01  1.78037212e+00 -1.74246289e-04  1.02175613e+04 
 4.44057478e-01  1.72151939e+00 -1.68486331e-04  1.02175613e+04 
 4.46057478e-01  1.66239482e+00 -1.62699767e-04  1.02175613e+04 
 4.48057478e-01  1.60300773e+00 -1.56887510e-04  1.02175613e+04 
 4.50057478e-01  1.54336751e+00 -1.51050479e-04  1.02175613e+04 
 4.52057478e-01  1.48348357e+00 -1.45189595e-04  1.02175613e+04 
 4.54057478e-01  1.42336538e+00 -1.39305785e-04  1.02175613e+04 
 4.56057478e-01  1.36302242e+00 -1.33399976e-04  1.02175613e+04 
 4.58057478e-01  1.30246422e+00 -1.27473102e-04  1.02175613e+04 
 4.60057478e-01  1.24170035e+00 -1.21526098e-04  1.02175613e+04 
 4.62057478e-01  1.18074039e+00 -1.15559904e-04  1.02175613e+04 
 4.64057478e-01  1.11959399e+00 -1.09575462e-04  1.02175613e+04 
 4.66057478e-01  1.05827079e+00 -1.03573717e-04  1.02175613e+04 
 4.68057478e-01  9.96780474e-01 -9.75556159e-05  1.02175613e+04 
 4.70057478e-01  9.35132756e-01 -9.15221098e-05  1.02175613e+04 
 4.72057478e-01  8.73337370e-01 -8.54741513e-05  1.02175613e+04 
 4.74057478e-01  8.11404075e-01 -7.94126955e-05  1.02175613e+04 
 4.76057478e-01  7.49342648e-01 -7.33386995e-05  1.02175613e+04 
 4.78057478e-01  6.87162893e-01 -6.72531224e-05  1.02175613e+04 
 4.80057478e-01  6.24874626e-01 -6.11569253e-05  1.02175613e+04 
 4.82057478e-01  5.62487684e-01 -5.50510708e-05  1.02175613e+04 
 4.84057478e-01  5.00011919e-01 -4.89365231e-05  1.02175613e+04 
 4.86057478e-01  4.37457196e-01 -4.28142478e-05  1.02175613e+04 
 4.88057478e-01  3.74833393e-01 -3.66852116e-05  1.02175613e+04 
 4.90057478e-01  3.12150400e-01 -3.05503823e-05  1.02175613e+04 
 4.92057478e-01  2.49418115e-01 -2.44107289e-05  1.02175613e+04 
 4.94057478e-01  1.86646444e-01 -1.82672206e-05  1.02175613e+04 
 4.96057478e-01  1.23845299e-01 -1.21208278e-05  1.02175613e+04 
 4.98057478e-01  6.10245978e-02 -5.97252092e-06  1.02175613e+04 
 5.00057478e-01 -1.80574014e-03  1.76729072e-07  1.02175613e+04 
 5.02057478e-01 -6.46357929e-02  6.32595117e-06  1.02175613e+04 
 5.04057478e-01 -1.27455639e-01  1.24741743e-05  1.02175613e+04 
 5.06057478e-01 -1.90255358e-01  1.86204277e-05  1.02175613e+04 
 5.08057478e-01 -2.53025034e-01  2.47637406e-05  1.02175613e+04 
 5.10057478e-01 -3.15754754e-01  3.09031431e-05  1.02175613e+04 
 5.12057478e-01 -3.78434613e-01  3.70376656e-05  1.02175612e+04 
 5.14057478e-01 -4.41054713e-01  4.31663395e-05  1.02175612e+04 
 5.16057478e-01 -5.03605165e-01  4.92881968e-05  1.02175612e+04 
 5.18057478e-01 -5.66076091e-01  5.54022711e-05  1.02175612e+04 
 5.20057478e-01 -6.28457628e-01  6.15075966e-05  1.02175612e+04 
 5.22057478e-01 -6.90739924e-01  6.76032095e-05  1.02175612e+04 
 5.24057478e-01 -7.52913145e-01  7.36881469e-05  1.02175612e+04 
 5.26057478e-01 -8.14967471e-01  7.97614482e-05  1.02175612e+04 
 5.28057478e-01 -8.76893105e-01  8.58221543e-05  1.02175612e+04 
 5.30057478e-01 -9.38680267e-01  9.18693080e-05  1.02175612e+04 
 5.32057478e-01 -1.00031920e+00  9.79019545e-05  1.02175612e+04 
 5.34057478e-01 -1.06180017e+00  1.03919141e-04  1.02175612e+04 
 5.36057478e-01 -1.12311347e+00  1.09919918e-04  1.02175612e+04 
 5.38057478e-01 -1.18424942e+00  1.15903337e-04  1.02175612e+04 
 5.40057478e-01 -1.24519836e+00  1.21868453e-04  1.02175612e+04 
 5.42057478e-01 -1.30595067e+00  1.27814325e-04  1.02175612e+04 
 5.44057478e-01 -1.36649676e+00  1.33740014e-04  1.02175612e+04 
 5.46057478e-01 -1.42682706e+00  1.39644583e-04  1.02175612e+04 
 5.48057478e-01 -1.48693205e+00  1.45527102e-04  1.02175612e+04 
 5.50057478e-01 -1.54680223e+00  1.51386639e-04  1.02175612e+04 
 5.52057478e-01 -1.60642816e+00  1.57222271e-04  1.02175612e+04 
 5.54057478e-01 -1.66580041e+00  1.63033076e-04  1.02175612e+04 
 5.56057478e-01 -1.72490961e+00  1.68818136e-04  1.02175612e+04 
 5.58057478e-01 -1.78374643e+00  1.74576538e-04  1.02175612e+04 
 5.60057478e-01 -1.84230158e+00  1.80307372e-04  1.02175611e+04 
 5.62057478e-01 -1.90056580e+00  1.86009733e-04  1.02175611e+04 
 5.64057478e-01 -1.95852991e+00  1.91682722e-04  1.02175611e+04 
 5.66057478e-01 -2.01618473e+00  1.97325441e-04  1.02175611e+04 
 5.68057478e-01 -2.07352118e+00  2.02937001e-04  1.02175611e+04 
 5.70057478e-01 -2.13053020e+00  2.08516514e-04  1.02175611e+04 
 5.72057478e-01 -2.18720278e+00  2.14063100e-04  1.02175611e+04 
 5.74057478e-01 -2.24352998e+00  2.19575883e-04  1.02175611e+04 
 5.76057478e-01 -2.29950290e+00  2.25053993e-04  1.02175611e+04 
 5.78057478e-01 -2.35511270e+00  2.30496564e-04  1.02175611e+04 
 5.80057478e-01 -2.41035060e+00  2.35902737e-04  1.02175611e+04 
 5.82057478e-01 -2.46520787e+00  2.41271658e-04  1.02175611e+04 
 5.84057478e-01 -2.51967587e+00  2.46602479e-04  1.02175611e+04 
 5.86057478e-01 -2.57374597e+00  2.51894360e-04  1.02175610e+04 
 5.88057478e-01 -2.62740965e+00  2.57146463e-04  1.02175610e+04 
 5.90057478e-01 -2.68065844e+00  2.62357960e-04  1.02175610e+04 
 5.92057478e-01 -2.73348391e+00  2.67528027e-04  1.02175610e+04 
 5.94057478e-01 -2.78587774e+00  2.72655849e-04  1.02175610e+04 
 5.96057478e-01 -2.83783165e+00  2.77740615e-04  1.02175610e+04 
 5.98057478e-01 -2.88933743e+00  2.82781522e-04  1.02175610e+04 
 6.00057478e-01 -2.94038694e+00  2.87777776e-04  1.02175610e+04 
 6.02057478e-01 -2.99097214e+00  2.92728585e-04  1.02175610e+04 
 6.04057478e-01 -3.04108503e+00  2.97633170e-04  1.02175610e+04 
 6.06057478e-01 -3.09071770e+00  3.02490755e-04  1.02175610e+04 
 6.08057478e-01 -3.13986230e+00  3.07300573e-04  1.02175609e+04 
 6.10057478e-01 -3.18851109e+00  3.12061865e-04  1.02175609e+04 
 6.12057478e-01 -3.23665637e+00  3.16773879e-04  1.02175609e+04 
 6.14057478e-01 -3.28429055e+00  3.21435870e-04  1.02175609e+04 
 6.16057478e-01 -3.33140610e+00  3.26047104e-04  1.02175609e+04 
 6.18057478e-01 -3.37799558e+00  3.30606850e-04  1.02175609e+04 
 6.20057478e-01 -3.42405163e+00  3.35114390e-04  1.02175608e+04 
 6.22057478e-01 -3.46956699e+00  3.39569011e-04  1.02175608e+04 
 6.24057478e-01 -3.51453447e+00  3.43970010e-04  1.02175608e+04 
 6.26057478e-01 -3.55894696e+00  3.48316693e-04  1.02175608e+04 
 6.28057478e-01 -3.60279745e+00  3.52608372e-04  1.02175608e+04 
 6.30057478e-01 -3.64607901e+00  3.56844370e-04  1.02175608e+04 
 6.32057478e-01 -3.68878482e+00  3.61024019e-04  1.02175608e+04 
 6.34057478e-01 -3.73090813e+00  3.65146657e-04  1.02175608e+04 
 6.36057478e-01 -3.77244228e+00  3.69211635e-04  1.02175608e+04 
 6.38057478e-01 -3.81338072e+00  3.73218310e-04  1.02175608e+04 
 6.40057478e-01 -3.85371698e+00  3.77166049e-04  1.02175608e+04 
 6.42057478e-01 -3.89344470e+00  3.81054230e-04  1.02175608e+04 
 6.44057478e-01 -3.93255760e+00  3.84882238e-04  1.02175607e+04 
 6.46057478e-01 -3.97104950e+00  3.88649468e-04  1.02175607e+04 
 6.48057478e-01 -4.00891432e+00  3.92355326e-04  1.02175607e+04 
 6.50057478e-01 -4.04614610e+00  3.95999226e-04  1.02175607e+04 
 6.52057478e-01 -4.08273893e+00  3.99580594e-04  1.02175607e+04 
 6.54057478e-01 -4.11868706e+00  4.03098864e-04  1.02175607e+04 
 6.56057478e-01 -4.15398480e+00  4.06553479e-04  1.02175607e+04 
